CityName;SubRegion;Region;Latitude;Longitude;Population
Барнаул;Алтайский край;Сибирский федеральный округ;53.356339;83.76165;612091
Бийск;Алтайский край;Сибирский федеральный округ;52.541302;85.217003;210055
Алейск;Алтайский край;Сибирский федеральный округ;52.473621;82.757919;29512
Заринск;Алтайский край;Сибирский федеральный округ;53.70895;84.967278;48456
Рубцовск;Алтайский край;Сибирский федеральный округ;51.52113;81.202713;147008
Анжеро-Судженск;Кемеровская область;Сибирский федеральный округ;56.064411;86.023369;76669
Горняк;Алтайский край;Сибирский федеральный округ;50.997;81.4685;13924
Балей;Забайкальский край;Сибирский федеральный округ;51.5828;116.6375;12536
Белово;Кемеровская область;Сибирский федеральный округ;54.37674;86.349159;76752
Новоалтайск;Алтайский край;Сибирский федеральный округ;53.4128;83.9359;70438
Славгород;Алтайский край;Сибирский федеральный округ;52.9944;78.6458;32390
Белокуриха;Алтайский край;Сибирский федеральный округ;52.9756;84.9836;14660
Благовещенск;Амурская область;Дальневосточный федеральный округ;50.27494;127.534142;214397
Белогорск;Амурская область;Дальневосточный федеральный округ;50.919991;128.469193;68220
Свободный;Амурская область;Дальневосточный федеральный округ;51.393631;128.123245;58594
Сковородино;Амурская область;Дальневосточный федеральный округ;53.984261;123.948349;9561
Тында;Амурская область;Дальневосточный федеральный округ;55.149879;124.722473;35574
Ерофей-Павлович;Амурская область;Дальневосточный федеральный округ;53.963181;121.954376;0
Шимановск;Амурская область;Дальневосточный федеральный округ;52.00951;127.65593;19815
Архангельск;Архангельская область;Северо-Западный федеральный округ;64.536926;40.565571;348716
Вельск;Архангельская область;Северо-Западный федеральный округ;61.066971;42.10183;23885
Коряжма;Архангельская область;Северо-Западный федеральный округ;61.316559;47.146042;39629
Воронеж;Воронежская область;Центральный федеральный округ;51.660019;39.197411;889989
Новодвинск;Архангельская область;Северо-Западный федеральный округ;64.423447;40.820412;40612
Северодвинск;Архангельская область;Северо-Западный федеральный округ;64.566879;39.846809;192265
Астрахань;Астраханская область;Южный федеральный округ;46.354889;48.052719;520662
Валуйки;Белгородская область;Центральный федеральный округ;50.213268;38.10199;35322
Алексеевка;Белгородская область;Центральный федеральный округ;50.634239;38.714161;39026
Волоконовка;Белгородская область;Центральный федеральный округ;50.481941;37.862499;0
Губкин;Белгородская область;Центральный федеральный округ;51.275436;37.560936;88562
Белгород;Белгородская область;Центральный федеральный округ;50.596611;36.609211;356426
Прохоровка;Белгородская область;Центральный федеральный округ;51.033333;36.733334;0
Новый Оскол;Белгородская область;Центральный федеральный округ;50.761471;37.869511;19530
Старый Оскол;Белгородская область;Центральный федеральный округ;51.304901;37.856892;221163
Шебекино;Белгородская область;Центральный федеральный округ;50.405899;36.890636;44277
Брянск;Брянская область;Центральный федеральный округ;53.310661;34.300369;415640
Навля;Брянская область;Центральный федеральный округ;52.8195;34.483719;0
Унеча;Брянская область;Центральный федеральный округ;52.848701;32.67046;26196
Жуковка;Брянская область;Центральный федеральный округ;53.538971;33.736179;18269
Бабушкин;Республика Бурятия;Сибирский федеральный округ;51.7179;105.8679;4839
Гусиноозёрск;Республика Бурятия;Сибирский федеральный округ;51.286;106.5232;24603
Бердск;Новосибирская область;Сибирский федеральный округ;54.76355;83.103447;98809
Кяхта;Республика Бурятия;Сибирский федеральный округ;50.3464;106.4532;20041
Владимир;Владимирская область;Центральный федеральный округ;56.127701;40.407558;348256
Александров;Владимирская область;Центральный федеральный округ;56.396759;38.72419;61544
Гусь Хрустальный;Владимирская область;Центральный федеральный округ;55.61684;40.672661;0
Киржач;Владимирская область;Центральный федеральный округ;56.157429;38.869732;30044
Ковров;Владимирская область;Центральный федеральный округ;56.386719;41.310871;145492
Кольчугино;Владимирская область;Центральный федеральный округ;56.306469;39.372101;45804
Муром;Владимирская область;Центральный федеральный округ;55.574291;42.05151;116078
Собинка;Владимирская область;Центральный федеральный округ;55.984291;39.987511;19482
Демидово;Владимирская область;Центральный федеральный округ;55.397949;40.300636;0
Покров;Владимирская область;Центральный федеральный округ;55.916515;39.167343;17762
Городище;Волгоградская область;Южный федеральный округ;48.800549;44.478378;8102
Волгоград;Волгоградская область;Южный федеральный округ;48.718079;44.504639;1021244
Волжский;Волгоградская область;Южный федеральный округ;48.79509;44.80069;314436
Рудня;Волгоградская область;Южный федеральный округ;50.79882;44.562672;10029
Калач-на-дону;Волгоградская область;Южный федеральный округ;48.690392;43.523251;26892
Камышин;Волгоградская область;Южный федеральный округ;50.082581;45.392681;119924
Иловля;Волгоградская область;Южный федеральный округ;49.304409;43.983528;0
Котово;Волгоградская область;Южный федеральный округ;50.314598;44.799004;24104
Котельниково;Волгоградская область;Южный федеральный округ;47.620949;43.14954;20441
Ленинск;Волгоградская область;Южный федеральный округ;48.702221;45.204819;15527
Палласовка;Волгоградская область;Южный федеральный округ;50.044819;46.893799;15984
Николаевск;Волгоградская область;Южный федеральный округ;50.021641;45.46233;15081
Новоаннинский;Волгоградская область;Южный федеральный округ;50.521839;42.664371;17911
